Age,Department,JobRole,Education,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
59,Operations,Manager,Master,122086,12,3,1,0,0
49,IT,Junior,Bachelor,144721,12,3,4,0,0
35,HR,Junior,PhD,168751,7,2,4,1,1
28,Finance,Senior,Bachelor,196324,8,4,1,0,0
41,IT,Junior,Master,49889,12,3,3,0,0
59,Sales,Junior,Master,27658,1,4,3,0,0
39,HR,Manager,Bachelor,44462,18,1,2,1,1
43,Finance,Executive,Bachelor,106878,19,3,3,1,0
31,HR,Manager,Bachelor,188941,1,2,1,0,1
31,HR,Senior,High School,144997,17,1,2,0,1
44,IT,Manager,PhD,160052,5,3,2,0,0
56,IT,Senior,PhD,172974,9,1,1,1,1
44,Sales,Senior,Master,113783,18,4,4,0,0
23,Operations,Executive,Master,188249,7,3,4,0,0
42,Sales,Senior,Master,132315,11,4,2,1,0
22,Finance,Senior,PhD,176304,14,3,3,0,0
44,Finance,Junior,Master,91525,9,1,1,1,1
50,HR,Manager,Bachelor,106333,16,1,1,0,0
58,IT,Junior,Bachelor,171258,0,1,3,0,0
22,HR,Manager,Master,117666,1,4,1,0,0
41,Operations,Junior,Bachelor,117118,3,1,3,0,0
53,HR,Junior,High School,87848,13,4,3,0,0
32,Finance,Junior,Bachelor,143242,4,3,2,1,0
42,Finance,Junior,PhD,33708,19,4,1,0,0
45,Sales,Junior,PhD,25862,17,2,4,0,0
47,HR,Junior,Bachelor,106350,15,2,4,1,0
48,IT,Junior,Master,111771,9,1,2,0,1
36,Operations,Junior,PhD,104770,14,2,3,0,0
35,Operations,Manager,Bachelor,92481,4,3,2,0,0
23,IT,Junior,Master,130928,19,4,4,0,0
57,Operations,Executive,Master,24836,15,1,1,1,1
27,IT,Junior,Bachelor,57214,15,2,3,0,0
41,IT,Executive,Master,21583,17,4,1,0,0
29,Sales,Manager,Master,90435,15,4,1,0,0
59,HR,Junior,PhD,160609,14,3,3,1,0
38,Finance,Executive,Master,105662,3,3,1,0,0
24,Finance,Manager,High School,196146,14,3,4,0,0
45,HR,Junior,PhD,30123,18,3,3,0,0
34,Operations,Executive,PhD,155804,3,3,4,0,0
29,IT,Senior,Master,87273,5,4,1,0,0
46,Finance,Junior,Bachelor,25623,6,4,2,1,1
22,Sales,Manager,High School,108166,14,3,1,1,1
40,Operations,Manager,High School,47448,13,3,1,0,0
48,Sales,Junior,PhD,29810,12,3,4,1,0
27,Finance,Executive,High School,104461,16,1,4,0,0
28,HR,Executive,PhD,123881,0,4,4,1,0
55,HR,Junior,Master,91622,2,3,2,0,0
34,Sales,Senior,PhD,136071,9,3,3,1,0
37,Operations,Executive,Master,186345,14,2,1,0,0
56,Finance,Manager,PhD,85340,5,4,4,0,0
24,IT,Junior,PhD,118743,17,2,4,0,0
22,HR,Senior,High School,95334,10,2,3,0,0
26,Sales,Manager,PhD,198775,15,3,2,0,0
24,Finance,Executive,Master,36864,10,4,1,0,0
49,Operations,Manager,Master,179577,13,3,3,1,0
38,IT,Junior,Bachelor,43271,6,4,1,1,0
46,IT,Senior,PhD,112244,16,4,1,1,0
54,HR,Junior,High School,87346,19,2,3,1,0
30,IT,Manager,High School,144981,15,1,4,1,1
56,Finance,Junior,PhD,41092,12,1,4,0,0
34,HR,Executive,Master,158405,0,4,2,0,0
51,HR,Manager,Bachelor,135956,18,2,3,1,0
35,HR,Junior,Master,149199,17,3,4,0,0
28,Finance,Manager,High School,113112,0,4,2,1,1
34,Sales,Senior,Bachelor,67565,1,3,1,0,0
43,IT,Junior,Master,124064,7,4,1,0,0
41,IT,Junior,Master,164900,14,3,3,0,0
36,Sales,Junior,High School,140316,3,2,2,0,1
38,HR,Executive,Master,119798,14,1,1,1,1
44,Operations,Senior,Bachelor,101181,4,4,1,1,1
46,Finance,Senior,Bachelor,45009,6,4,1,1,0
45,HR,Senior,High School,82338,2,2,4,0,0
49,HR,Executive,PhD,133084,14,2,3,1,1
35,HR,Junior,High School,95147,16,4,1,1,0
21,IT,Manager,High School,182059,2,2,4,1,1
45,IT,Executive,Master,149867,16,1,2,1,1
27,Operations,Manager,High School,163172,1,1,1,0,1
29,Finance,Senior,Master,65377,12,1,2,1,1
44,HR,Manager,Master,179579,6,2,4,1,1
21,IT,Executive,Bachelor,48332,5,1,3,0,0
28,Sales,Executive,PhD,151250,17,2,4,1,0
44,IT,Executive,High School,28448,17,1,4,1,1
31,HR,Manager,PhD,171915,12,3,3,1,0
37,HR,Manager,PhD,100740,2,2,4,1,1
28,IT,Executive,Bachelor,171741,15,4,4,1,0
55,Sales,Executive,PhD,46074,7,2,4,0,0
55,Sales,Manager,High School,47726,1,3,3,1,0
53,HR,Senior,Master,126276,0,2,4,0,0
25,IT,Executive,Bachelor,107011,16,2,3,1,1
59,Finance,Manager,High School,67006,13,1,1,0,1
48,Finance,Executive,High School,189814,10,4,2,0,0
27,HR,Junior,Bachelor,188618,16,2,1,0,1
29,Sales,Senior,Master,104921,13,3,4,0,0
28,Finance,Senior,Bachelor,183983,4,3,1,0,0
32,IT,Junior,Bachelor,129232,8,4,3,1,0
54,Operations,Junior,High School,41122,9,3,4,1,0
53,Operations,Junior,PhD,189230,7,3,2,0,0
43,Sales,Senior,Bachelor,167209,19,1,3,0,0
44,Operations,Manager,Bachelor,138719,12,3,4,1,0
57,IT,Senior,PhD,142504,2,2,1,0,1
55,HR,Junior,Bachelor,152914,13,3,4,1,0
42,HR,Executive,Bachelor,143002,14,2,3,0,0
47,IT,Junior,Bachelor,177477,3,4,2,0,0
55,HR,Junior,Master,51156,16,2,3,1,0
21,IT,Senior,Bachelor,105382,1,2,1,0,1
55,IT,Junior,Bachelor,113786,10,3,2,1,0
57,Operations,Executive,Master,98844,8,3,4,0,0
34,Operations,Executive,High School,126597,13,3,3,0,0
23,Sales,Junior,Master,48900,1,4,2,0,0
21,Operations,Junior,Bachelor,87702,5,2,2,1,1
25,HR,Executive,Bachelor,149357,8,3,1,0,0
46,Operations,Executive,Master,165147,8,3,4,0,0
34,IT,Executive,High School,175832,16,1,4,1,0
59,Operations,Senior,PhD,147029,2,2,2,0,1
47,HR,Manager,PhD,136183,19,2,3,0,0
29,Sales,Senior,High School,154187,15,3,1,0,0
35,Finance,Senior,PhD,51279,18,2,4,0,0
35,IT,Manager,Master,196905,14,2,3,0,0
46,HR,Senior,Bachelor,127628,19,1,2,1,1
33,HR,Manager,Bachelor,121904,17,4,4,1,0
52,Finance,Junior,Bachelor,161616,14,3,4,1,0
59,Sales,Junior,PhD,140994,15,2,4,1,1
52,IT,Executive,High School,53721,12,3,3,0,0
24,Sales,Senior,Master,141356,7,1,4,1,1
